!Produced on 2013-10-29 02:22:33.096074
!Based on the ansatz of Andrew et al. 2009 (eq 1 - 5):
!2009 ApJ, 700, 1502
!Format:
!         8      5000       100        50
!(8ES18.9)
! radius            theta             dens_gas          T                 dens_dust         d2g_mass          d2g_num           r_dust            
   5.155203583e-01   1.126334429e+00   5.589576853e-03   0.000000000e+00   1.011987635e-16   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.154111334e+00   6.684106162e-01   0.000000000e+00   1.210151137e-14   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.181888239e+00   5.870494176e+01   0.000000000e+00   1.062847452e-12   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.209665144e+00   3.786804627e+03   0.000000000e+00   6.855974178e-11   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.237442050e+00   1.794064497e+05   0.000000000e+00   3.248136906e-09   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.262190891e+00   4.303593607e+06   0.000000000e+00   7.791615767e-08   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.275048141e+00   2.035884822e+07   0.000000000e+00   3.685950331e-07   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.287905392e+00   9.014840735e+07   0.000000000e+00   1.632128440e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.300762643e+00   3.736335060e+08   0.000000000e+00   6.764599501e-06   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.313619894e+00   1.449494176e+09   0.000000000e+00   2.624295579e-05   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.326477145e+00   5.263444370e+09   0.000000000e+00   9.529416551e-05   1.000000000e-05   1.810490599e-14   2.207729393e-02
   5.155203583e-01   1.339334396e+00   1.788984190e+10   0.000000000e+00   3.238939058e-04   1.000000000e-05   1.810490599e-14   2.207729393e-02
