The continuum subtraced TW Hya LH spectra from AOR 24402944
continuum fitting routine: fit_irs_spline_new.pro
To rebuild the full spectrum, please use continuum + continuum subracted
wavelength(um)   continuum(Jy)     continuum subtracted spectrum(Jy)
      30.3725       3.1470835     0.046136441
      30.3955       3.1472700       0.0000000
      30.4185       3.1484045     0.014845422
      30.4411       3.1501938     0.050386082
      30.4640       3.1524213     0.089158755
      30.4869       3.1548969     0.066103070
      30.5098       3.1575117     0.083388360
      30.5326       3.1601786      0.18770125
      30.5555       3.1628613     0.049748668
      30.5783       3.1654783     0.035121647
      30.6011       3.1679699  -4.4408921e-16
      30.6238       3.1702588     0.021161257
      30.6465       3.1723775      0.19956239
      30.6690       3.1743232      0.15655669
      30.6917       3.1761069      0.14757298
      30.7144       3.1776444      0.19484548
      30.7370       3.1788066     0.023963404
      30.7596       3.1793900       0.0000000
      30.7823       3.1791930     0.029397038
      30.8049       3.1784362     0.019183675
      30.8274       3.1773588    0.0065711675
      30.8496       3.1761296     0.052710526
      30.8721       3.1748286      0.13461127
      30.8946       3.1735734      0.12686665
      30.9171       3.1724761     0.053293927
      30.9396       3.1716861     0.029234005
      30.9620       3.1714244     0.010645648
      30.9845       3.1720324     0.032977516
      31.0069       3.1740488     0.014781085
      31.0289       3.1782401       0.0000000
      31.0512       3.1855159     0.050304164
      31.0736       3.1950811     0.057639015
      31.0959       3.2059936     0.056916252
      31.1182       3.2177607      0.10665929
      31.1404       3.2299886     0.087531293
      31.1627       3.2425723     0.066797696
      31.1846       3.2550796      0.10211027
      31.2068       3.2677987     0.095521373
      31.2290       3.2804572     0.082912699
      31.2511       3.2928840     0.087106144
      31.2733       3.3050348     0.067055289
      31.2954       3.3165716    0.0095682910
      31.3175       3.3271934   -0.0010034006
      31.3392       3.3361919    -0.024241908
      31.3613       3.3430200       0.0000000
      31.3833       3.3466547  -4.8219077e-06
      31.4054       3.3479562    -0.021946231
      31.4274       3.3477946    -0.040364605
      31.4492       3.3467445    -0.020894476
      31.4710       3.3451505     0.016199595
      31.4929       3.3432247   -0.0091547000
      31.5148       3.3411258    -0.026085652
      31.5368       3.3389572   -0.0023872099
      31.5586       3.3368497     0.026410345
      31.5803       3.3348999       0.0000000
      31.6020       3.3331881    -0.026747990
      31.6238       3.3316510   -0.0039211054
      31.6456       3.3302306   -0.0031005335
      31.6568       3.3295320    -0.015822005
      31.6828       3.3279667    0.0048632116
      31.7088       3.3264595    0.0032004832
      31.7348       3.3249985     0.074081578
      31.7607       3.3235924    -0.049062487
      31.7866       3.3222541    0.0099359070
      31.8125       3.3210233    -0.031653269
      31.8384       3.3199734    -0.053883464
      31.8642       3.3192362   0.00013383578
      31.8900       3.3190315    0.0087885168
      31.9158       3.3197488     0.015791233
      31.9415       3.3220501       0.0000000
      31.9672       3.3265961     0.017023979
      31.9929       3.3327250     0.049054863
      32.0186       3.3397650     0.020264902
      32.0442       3.3472962     0.033053947
      32.0698       3.3551166     0.044233329
      32.0954       3.3630871     0.069923006
      32.1210       3.3711131     0.021066915
      32.1465       3.3790899     0.036820136
      32.1720       3.3869664     0.053183665
      32.1975       3.3946300       0.0000000
      32.2229       3.4019501     0.018760006
      32.2483       3.4090404     0.023029645
      32.2737       3.4159897     0.022680261
      32.2990       3.4228133   -0.0047331723
      32.3243       3.4295540     0.020126074
      32.3492       3.4360983     0.022551859
      32.3745       3.4426172    -0.010757235
      32.3998       3.4489294    0.0022205120
      32.4250       3.4548745     0.013125478
      32.4502       3.4602399       0.0000000
      32.4754       3.4648017     0.021528311
      32.5005       3.4688336     0.020826386
      32.5257       3.4726885     0.090291423
      32.5508       3.4765987     0.026001235
      32.5759       3.4808622     0.063167797
      32.6009       3.4858422     0.016627827
      32.6260       3.4921801       0.0000000
      32.6510       3.5003966     0.043133391
      32.6754       3.5097132     0.043026918
      32.7003       3.5199718     0.028568329
      32.7252       3.5306316     0.037518451
      32.7502       3.5414850     0.063555074
      32.7750       3.5522025     0.019337647
      32.7999       3.5626916     0.046748460
      32.8247       3.5725770    0.0057930815
      32.8495       3.5814477   -0.0084177403
      32.8743       3.5885601       0.0000000
      32.8991       3.5931980    -0.026458002
      32.9235       3.5960485   -0.0063485543
      32.9479       3.5979281     0.024941867
      32.9726       3.5993041      0.13700592
      32.9973       3.6004685      0.33975165
      33.0219       3.6016760      0.16510387
      33.0465       3.6032021     0.087687998
      33.0711       3.6054062     0.070233907
      33.0957       3.6088400       0.0000000
      33.1202       3.6140013      0.10123870
      33.1447       3.6203997     0.088060416
