CHD2OD2+    E-                      CD3OH       D                                   5.34E-09    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      CHD2OD      D                                   1.60E-08    -0.59      0.0    0.    0.  5     
CH3OHD+     E-                      CH3         OH          D                       9.08E-08    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      CD3         OH          D                       9.08E-08    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      CHD2        OD          D                       2.72E-07    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      D2CO        HD          D                       3.56E-07    -0.59      0.0    0.    0.  5     
CHD2OD2+    E-                      HDCO        D2          D                       3.56E-07    -0.59      0.0    0.    0.  5     
D3S+        E-                      DS          D           D                       1.85E-07    -0.50      0.0    0.    0.  5     
D3S+        E-                      D2S         D                                   1.85E-07    -0.50      0.0    0.    0.  5     
CHD2CDO+    E-                      CHDCO       D           D                       7.50E-08    -0.50      0.0    0.    0.  5     
CHD2CDOD+   E-                      CO          CHD3        D                       2.40E-07    -0.50      0.0    0.    0.  5     
CHD2CDOD+   E-                      CHD2CDO     D                                   9.00E-08    -0.50      0.0    0.    0.  5     
D2CS+       E-                      CS          D           D                       3.00E-07    -0.50      0.0    0.    0.  5     
D2CS+       E-                      DCS         D                                   3.00E-07    -0.50      0.0    0.    0.  5     
HCOOD2+     E-                      DCOOH       D                                   1.00E-07    -0.50      0.0    0.    0.  5     
HCOOD2+     E-                      HCOOD       D                                   1.00E-07    -0.50      0.0    0.    0.  5     
HD2CS+      E-                      CS          HD          D                       2.00E-07    -0.50      0.0    0.    0.  5     
HD2CS+      E-                      HDCS        D                                   2.00E-07    -0.50      0.0    0.    0.  5     
DSO+        E-                      SO          D                                   2.00E-07    -0.50      0.0    0.    0.  5     
HD                                  H+          D           E-                      1.10E-19     0.00      0.0    0.    0.  1     
HD2+        E-                      HD          D                                   4.20E-09    -0.50      0.0    0.  200.  5     
D3+         E-                      D2          D                                   5.40E-09    -0.50      0.0    0.  200.  5     
H3+         CO                      HOC+        H2                                  2.70E-11     0.00      0.0    0.    0.  5     
HD2+        CO                      DOC+        HD                                  1.80E-11     0.00      0.0    0.    0.  5     
CHD         O                       CO          HD                                  8.00E-11     0.00      0.0    0.    0.  5     
H2D+        HCOOH                   H2DO+       CO          H2                      1.08E-09    -0.50      0.0    0.    0.  5     
H2D+        HCOOH                   H3O+        CO          HD                      7.20E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOH                   HD2O+       CO          H2                      5.40E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOH                   H2DO+       CO          HD                      1.08E-09    -0.50      0.0    0.    0.  5     
H2D+        DCOOH                   H3O+        CO          D2                      1.80E-10    -0.50      0.0    0.    0.  5     
H2D+        HCOOD                   H3O+        CO          D2                      1.80E-10    -0.50      0.0    0.    0.  5     
H3+         DCOOD                   HD2O+       CO          H2                      5.40E-10    -0.50      0.0    0.    0.  5     
H3+         DCOOD                   H2DO+       CO          HD                      1.08E-09    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   D3O+        CO          H2                      1.80E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   HD2O+       CO          HD                      1.08E-09    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   H2DO+       CO          D2                      5.40E-10    -0.50      0.0    0.    0.  5     
HD2+        DCOOH                   HD2O+       CO          HD                      1.08E-09    -0.50      0.0    0.    0.  5     
HD2+        DCOOH                   H2DO+       CO          D2                      5.40E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOD                   HD2O+       CO          HD                      1.08E-09    -0.50      0.0    0.    0.  5     
HD2+        HCOOD                   H2DO+       CO          D2                      5.40E-10    -0.50      0.0    0.    0.  5     
H2D+        DCOOD                   HD2O+       CO          HD                      1.08E-09    -0.50      0.0    0.    0.  5     
D3+         DCOOH                   D3O+        CO          HD                      7.20E-10    -0.50      0.0    0.    0.  5     
D3+         DCOOH                   HD2O+       CO          D2                      1.08E-09    -0.50      0.0    0.    0.  5     
D3+         HCOOD                   D3O+        CO          HD                      7.20E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOD                   HD2O+       CO          D2                      1.08E-09    -0.50      0.0    0.    0.  5     
CD3CO+      E-                      CO          CD3                                 3.00E-07    -0.50      0.0    0.    0.  5     
D2O         HCO+                    DCOOHD+                                         2.67E-13    -1.30      0.0    0.    0.  5     
H+          HDCO                    HCO+        HD                                  2.38E-09    -0.50      0.0    0.    0.  5     
H+          D2CO                    HCO+        D2                                  1.19E-09    -0.50      0.0    0.    0.  5     
HD2+        HCOOH                   HCO+        HDO         HD                      1.72E-09    -0.50      0.0    0.    0.  5     
HD2+        HCOOH                   HCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
H2D+        DCOOH                   HCO+        D2O         H2                      4.30E-10    -0.50      0.0    0.    0.  5     
H2D+        DCOOH                   HCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
H2D+        HCOOD                   HCO+        D2O         H2                      4.30E-10    -0.50      0.0    0.    0.  5     
H2D+        HCOOD                   HCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
H3+         DCOOD                   HCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   HCO+        D2O         HD                      8.60E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   HCO+        HDO         D2                      8.60E-10    -0.50      0.0    0.    0.  5     
HD2+        DCOOH                   HCO+        D2O         HD                      8.60E-10    -0.50      0.0    0.    0.  5     
HD2+        DCOOH                   HCO+        HDO         D2                      8.60E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOD                   HCO+        D2O         HD                      8.60E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOD                   HCO+        HDO         D2                      8.60E-10    -0.50      0.0    0.    0.  5     
H2D+        DCOOD                   HCO+        D2O         HD                      8.60E-10    -0.50      0.0    0.    0.  5     
H2D+        DCOOD                   HCO+        HDO         D2                      8.60E-10    -0.50      0.0    0.    0.  5     
D3+         DCOOH                   HCO+        D2O         D2                      8.60E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOD                   HCO+        D2O         D2                      8.60E-10    -0.50      0.0    0.    0.  5     
HDO         DCO+                    DCOOHD+                                         2.67E-13    -1.30      0.0    0.    0.  5     
H+          HDCO                    DCO+        H2                                  1.19E-09    -0.50      0.0    0.    0.  5     
H+          D2CO                    DCO+        HD                                  2.38E-09    -0.50      0.0    0.    0.  5     
H2D+        HCOOH                   DCO+        H2O         H2                      8.60E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOH                   DCO+        HDO         H2                      8.60E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOH                   DCO+        H2O         HD                      8.60E-10    -0.50      0.0    0.    0.  5     
H3+         DCOOD                   DCO+        HDO         H2                      8.60E-10    -0.50      0.0    0.    0.  5     
H3+         DCOOD                   DCO+        H2O         HD                      8.60E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   DCO+        D2O         H2                      4.30E-10    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   DCO+        HDO         HD                      1.72E-09    -0.50      0.0    0.    0.  5     
D3+         HCOOH                   DCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
HD2+        DCOOH                   DCO+        D2O         H2                      4.30E-10    -0.50      0.0    0.    0.  5     
HD2+        DCOOH                   DCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOD                   DCO+        D2O         H2                      4.30E-10    -0.50      0.0    0.    0.  5     
HD2+        HCOOD                   DCO+        H2O         D2                      4.30E-10    -0.50      0.0    0.    0.  5     
H2D+        DCOOD                   DCO+        HDO         HD                      1.72E-09    -0.50      0.0    0.    0.  5     
D3+         DCOOH                   DCO+        D2O         HD                      1.72E-09    -0.50      0.0    0.    0.  5     
D3+         DCOOH                   DCO+        HDO         D2                      1.72E-09    -0.50      0.0    0.    0.  5     
D3+         HCOOD                   DCO+        D2O         HD                      1.72E-09    -0.50      0.0    0.    0.  5     
D3+         HCOOD                   DCO+        HDO         D2                      1.72E-09    -0.50      0.0    0.    0.  5     
HDCO        S+                      HS          DCO+                                1.67E-10    -0.50      0.0    0.    0.  5     
D2CO        S+                      DS          DCO+                                3.35E-10    -0.50      0.0    0.    0.  5     
CD3+        H2O                     CHD2OHD+                                        1.20E-12     0.00      0.0    0.    0.  5     
H+          CD3OH                   CD3+        H2O                                 5.90E-11    -0.50      0.0    0.    0.  5     
H+          CHD2OD                  CD3+        H2O                                 5.90E-11    -0.50      0.0    0.    0.  5     
H2D+        CH3OH                   CH3+        H2O         HD                      1.06E-09    -0.50      0.0    0.    0.  5     
HD2+        CH3OH                   CHD2+       H2O         H2                      5.30E-10    -0.50      0.0    0.    0.  5     
HD2+        CH3OH                   CH2D+       H2O         HD                      1.06E-09    -0.50      0.0    0.    0.  5     
HD2+        CH3OH                   CH3+        H2O         D2                      1.77E-10    -0.50      0.0    0.    0.  5     
H2D+        CH2DOH                  CHD2+       H2O         H2                      5.30E-10    -0.50      0.0    0.    0.  5     
H2D+        CH2DOH                  CH3+        H2O         D2                      1.77E-10    -0.50      0.0    0.    0.  5     
H2D+        CH3OD                   CHD2+       H2O         H2                      5.30E-10    -0.50      0.0    0.    0.  5     
H2D+        CH3OD                   CH3+        H2O         D2                      1.77E-10    -0.50      0.0    0.    0.  5     
D3+         CH3OH                   CD3+        H2O         H2                      1.06E-10    -0.50      0.0    0.    0.  5     
D3+         CH3OH                   CHD2+       H2O         HD                      6.36E-10    -0.50      0.0    0.    0.  5     
D3+         CH3OH                   CH2D+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
HD2+        CH2DOH                  CD3+        H2O         H2                      1.06E-10    -0.50      0.0    0.    0.  5     
HD2+        CH2DOH                  CHD2+       H2O         HD                      6.36E-10    -0.50      0.0    0.    0.  5     
HD2+        CH2DOH                  CH2D+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
H2D+        CHD2OH                  CD3+        H2O         H2                      1.06E-10    -0.50      0.0    0.    0.  5     
HD2+        CH3OD                   CD3+        H2O         H2                      1.06E-10    -0.50      0.0    0.    0.  5     
HD2+        CH3OD                   CHD2+       H2O         HD                      6.36E-10    -0.50      0.0    0.    0.  5     
HD2+        CH3OD                   CH2D+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
H2D+        CH2DOD                  CD3+        H2O         H2                      1.06E-10    -0.50      0.0    0.    0.  5     
D3+         CH2DOH                  CD3+        H2O         HD                      2.12E-10    -0.50      0.0    0.    0.  5     
D3+         CH2DOH                  CHD2+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
HD2+        CHD2OH                  CD3+        H2O         HD                      2.12E-10    -0.50      0.0    0.    0.  5     
HD2+        CHD2OH                  CHD2+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
H2D+        CD3OH                   CD3+        H2O         HD                      2.12E-10    -0.50      0.0    0.    0.  5     
H2D+        CD3OH                   CHD2+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
D3+         CH3OD                   CD3+        H2O         HD                      2.12E-10    -0.50      0.0    0.    0.  5     
D3+         CH3OD                   CHD2+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
HD2+        CH2DOD                  CD3+        H2O         HD                      2.12E-10    -0.50      0.0    0.    0.  5     
HD2+        CH2DOD                  CHD2+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
H2D+        CHD2OD                  CD3+        H2O         HD                      2.12E-10    -0.50      0.0    0.    0.  5     
H2D+        CHD2OD                  CHD2+       H2O         D2                      3.18E-10    -0.50      0.0    0.    0.  5     
H-          HDO                     OD-         H2                                  1.27E-09     0.00      0.0    0.    0.  5     
H2D+        HDO                     H3O+        D2                                  5.90E-10    -0.50      0.0    0.    0.  5     
HD2+        HDO                     D3O+        H2                                  5.90E-10    -0.50      0.0    0.    0.  5     
HD2+        HDO                     HD2O+       HD                                  3.54E-09    -0.50      0.0    0.    0.  5     
HD2+        HDO                     H2DO+       D2                                  1.77E-09    -0.50      0.0    0.    0.  5     
D3+         HDO                     D3O+        HD                                  2.36E-09    -0.50      0.0    0.    0.  5     
D3+         HDO                     HD2O+       D2                                  3.54E-09    -0.50      0.0    0.    0.  5     
H2D+        CH3OH                   CH3+        HDO         H2                      1.06E-09    -0.50      0.0    0.    0.  5     
HD2+        CH3OH                   CH2D+       HDO         H2                      1.06E-09    -0.50      0.0    0.    0.  5     
HD2+        CH3OH                   CH3+        HDO         HD                      7.07E-10    -0.50      0.0    0.    0.  5     
H2D+        CH2DOH                  CH3+        HDO         HD                      7.07E-10    -0.50      0.0    0.    0.  5     
H2D+        CH3OD                   CH3+        HDO         HD                      7.07E-10    -0.50      0.0    0.    0.  5     
D3+         CH3OH                   CHD2+       HDO         H2                      6.36E-10    -0.50      0.0    0.    0.  5     
