Network: WALMSLEY 2004
B. Parise -- 12 Nov. 2009

H       H	        pH2                                      2.50e-01 0.00e+00 0.00e+00 0  
GRAIN0  HE+             GRAIN+  He 				 8.00e-07 0.50     0.00e+0015 
GRAIN-  D+              GRAIN0  D 				 1.13e-06 0.50     0.00e+0015 
GRAIN-  pH2D+           GRAIN0  pH2     D 			 1.33e-07 0.50     0.00e+0015 
GRAIN-  pH2D+           GRAIN0  HD      H 			 2.66e-07 0.50 	   0.00e+0015 
GRAIN-  oH2D+           GRAIN0  oH2     D 			 1.33e-07 0.50 	   0.00e+0015 
GRAIN-  oH2D+           GRAIN0 	HD 	H 			 2.66e-07 0.50 	   0.00e+0015 
GRAIN-  pH2D+           GRAIN0  D       H       H 		 3.99e-07 0.50 	   0.00e+0015 
GRAIN-  oH2D+           GRAIN0  D       H       H   		 3.99e-07 0.50 	   0.00e+0015 
GRAIN0  D+              GRAIN+  D 				 1.13e-06 0.50 	   0.00e+0015 
GRAIN0  pH2D+           GRAIN+  pH2     D 			 1.33e-07 0.50 	   0.00e+0015 
GRAIN0  pH2D+           GRAIN+  HD 	H 			 2.66e-07 0.50 	   0.00e+0015 
GRAIN0 	oH2D+           GRAIN+  oH2 	D 			 1.33e-07 0.50 	   0.00e+0015 
GRAIN0 	oH2D+           GRAIN+  HD 	H 			 2.66e-07 0.50 	   0.00e+0015 
GRAIN0 	pH2D+           GRAIN+  D 	H	H 		 3.99e-07 0.50 	   0.00e+0015 
GRAIN0 	oH2D+           GRAIN+  D 	H 	H		 3.99e-07 0.50 	   0.00e+0015 
GRAIN-  HD2+            GRAIN0  HD      D 			 2.38e-07 0.50     0.00e+0015 
GRAIN-  HD2+            GRAIN0 	D2  	H 			 1.19e-07 0.50 	   0.00e+0015 
GRAIN-  HD2+            GRAIN0  D       D       H 		 3.57e-07 0.50 	   0.00e+0015 
GRAIN0  HD2+            GRAIN+  HD  	D 			 2.38e-07 0.50 	   0.00e+0015 
GRAIN0  HD2+            GRAIN+  D2 	H 			 1.19e-07 0.50 	   0.00e+0015 
GRAIN0  HD2+            GRAIN+  D	D  	H 		 3.57e-07 0.50 	   0.00e+0015 
GRAIN-  D3+             GRAIN0 	D2  	D 			 3.26e-07 0.50 	   0.00e+0015 
GRAIN-  D3+             GRAIN0  D       D       D  		 3.26e-07 0.50 	   0.00e+0015 
GRAIN0  D3+             GRAIN+  D2  	D 			 3.26e-07 0.50 	   0.00e+0015 
GRAIN0  D3+             GRAIN+  D	D	D		 3.26e-07 0.50 	   0.00e+0015
GRAIN0  E               GRAIN-       				 6.90e-05 0.50	   0.00e+0015 
GRAIN+  E               GRAIN0      				 6.90e-05 0.50 	   0.00e+0015
 
