! Produced on 2013-10-28 18:33:18.643815
! Based on data files downloaded from the homepage of Draine:
! http://www.astro.princeton.edu/~draine/dust/dust.diel.html
! 
! Local input files:
! SiC: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/SiC_81
! silicate: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/suvSil_81
! graphite: /Users/fdu/Dropbox/work/protoplanetary_disk/inp/Gra_81
! 
! Averaged over a power law distribution of grain size:
! rmin = 1.000e-02, rmax = 1.000e+01, index = -3.500
! 
! Then averaged over a few dust species based on the following weights:
! SiC: 3.000e-01 silicate: 5.000e-01 graphite: 2.000e-01 
! 
! iformat =      3
! nrows =    241
! 
! lambda             absor              scatter            g                 
! micron             cm2 g-1            cm2 g-1                              
  2.9850000000e+01   6.5431716176e+02   5.2677747917e+02  -4.9120636485e-06
  3.1620000000e+01   6.0620176984e+02   4.9936436141e+02  -5.1160151832e-06
  3.3500000000e+01   5.7247504131e+02   4.7757210594e+02  -5.0405774475e-06
  3.5480000000e+01   5.2746401954e+02   4.4932074269e+02  -4.7049135213e-06
  3.7580000000e+01   4.9741206827e+02   4.3084091408e+02  -4.2052883043e-06
  3.9810000000e+01   4.5481384311e+02   4.0194363129e+02  -3.5582432315e-06
  4.2170000000e+01   4.2645002337e+02   3.8406190131e+02  -2.8244025770e-06
  4.4670000000e+01   3.8698752028e+02   3.5350829015e+02  -1.8405752700e-06
  4.7320000000e+01   3.5897657706e+02   3.3380302621e+02  -3.2916700923e-07
  5.0120000000e+01   3.2436438842e+02   2.9874072773e+02   1.5199705660e-06
  5.3090000000e+01   2.9646529236e+02   2.7107707650e+02   3.4211289285e-06
  5.6230000000e+01   2.6826104920e+02   2.3285979192e+02   5.0822498567e-06
  5.9570000000e+01   2.4300127170e+02   2.0370199749e+02   6.4770568743e-06
  6.3100000000e+01   2.1612476280e+02   1.6385665056e+02   7.2651029708e-06
  6.6830000000e+01   1.9121331709e+02   1.3292075469e+02   7.9749889589e-06
  7.0790000000e+01   1.6673772261e+02   9.9897617761e+01   7.7337643472e-06
  7.4990000000e+01   1.4421421832e+02   7.3900641734e+01   7.8823916192e-06
  7.9430000000e+01   1.2498619093e+02   5.6559412150e+01   7.2237169644e-06
  8.4140000000e+01   1.0857834441e+02   4.3722735178e+01   6.9478024803e-06
  8.9130000000e+01   9.4774017977e+01   3.3903036431e+01   5.9403571353e-06
  9.4410000000e+01   8.3254530240e+01   2.6344585737e+01   5.3984089246e-06
  1.0000000000e+02   7.3778581984e+01   2.0505314182e+01   4.4684271071e-06
  1.0590000000e+02   6.5970019094e+01   1.5989030704e+01   3.8781511631e-06
  1.1220000000e+02   5.9303199458e+01   1.2483526995e+01   2.9585021075e-06
  1.1890000000e+02   5.3274044088e+01   9.7600018348e+00   2.3633448191e-06
